ids,w2clsids,schids,ctyids,w2frame,w2subsample,w2cogscore,w2cog3pl,w2chn,w2upchn,w2mat,w2upmat,w2eng,w2upeng,w2a01,w2a02,w2a03,w2a05,w2a0701,w2a0702,w2a0703,w2a0704,w2a0705,w2a0706,w2a0707,w2a0708,w2a0801,w2a0801a,w2a0802,w2a0802a,w2a0802b,w2a0802c01,w2a0802c02,w2a0802c03,w2a0803,w2a0803a,w2a0804,w2a0804a,w2a16,w2a17,w2a2001,w2a2002,w2a2003,w2a2004,w2a2005,w2a2006,w2a2101a,w2a2101b,w2a2102a,w2a2102b,w2a2103a,w2a2103b,w2a2104a,w2a2104b,w2a22,w2a23,w2a24,w2a27,w2a28,w2a29,w2a30,w2a31,w2a32,w2b1401,w2b1402,w2b1403,w2b1404,w2b1405,w2b1406,w2b15,w2b16,w2b18,w2b19,w2b20,w2b21,,w2ba01,w2ba0201,w2ba0202,w2ba0203,w2ba0204,w2ba0205,w2ba0206,w2ba0207,w2ba0208,w2ba11,w2ba12,w2ba13,w2ba1400,w2ba1401,w2ba1401a,w2ba1402,w2ba1402a,w2ba1403,w2ba1403a,w2ba1404,w2ba1404a,w2ba1405,w2ba1405a,w2ba1500,w2ba1501,w2ba1501a,w2ba1502,w2ba1502a,w2ba1503,w2ba1503a,w2ba1504,w2ba1504a,w2ba1505,w2ba1505a,w2ba1600,w2ba1601,w2ba1601a,w2ba1602,w2ba1602a,w2ba1603,w2ba1603a,w2ba1604,w2ba1604a,w2ba1605,w2ba1605a,w2ba1701,w2ba1702,w2ba1703,w2ba1704,w2ba1705,w2ba1706,w2ba18,w2ba21,w2ba22,w2ba24,w2ba2601,w2ba2602,w2ba2603,w2ba2604,w2ba29,w2ba30,w2ba31,w2ba32,w2bb1401,w2bb1402,w2bb1403,w2bb1404,w2bb1405,w2bb1406,w2bb1407,w2bb15,w2bb16,w2bb17,w2bb18,w2bb19,w2bb20,w2bc01a,w2bc0201,w2bc0202,w2bc0203,w2bc0203a,w2bc0204,w2bc0205,w2bc09,w2bd01,w2bd02,w2be02,w2be03,w2be04,w2be06,w2be07,w2be08,w2be09,w2be11,w2be12,w2be13,w2be15,w2be16,w2be17,w2be18,w2be23,w2be24,w2be25,w2be33,w2be34,w2be35,w2be36
1,1,1,1,3,3,26,0.544193983,82,100,91,100,82,100,2,1,1,1,1,1,0,0,0,0,0,0,1,,0,,,,,,0,,0,,2,1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,6,1,9,2,2,5,4,0,0,0,1,0,1,2,7,9,6,5,4,,2,1,1,0,0,0,0,0,0,6,3,3,0,1,2,1,3,0,,0,,0,,0,1,1,1,1,0,,0,,0,,0,1,1,1,1,0,,0,,0,,2,2,2,3,3,3,4,1,4000,1,3,3,3,3,9,4,5,4,1,1,0,1,0,1,1,2,2,3,3,2,2,4560,0,0,0,,0,1,2,2,2,1,1,1,2,3,3,12,1,1,1,2,3,3,12,3,2,3,2,4,1,2
2,1,1,1,3,3,26,0.898056984,95,100,63,100,83,100,1,2,1,1,0,0,0,0,0,1,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,2,3,3,3,3,3,2,2,2,2,2,2,3,3,6,1,9,2,3,5,4,0,0,0,0,0,1,2,2,9,3,5,4,,1,0,0,0,0,0,1,0,0,6,4,6,0,0,,0,,0,,1,5,0,,0,0,,1,4,0,,0,,0,,0,1,3,1,3,0,,1,3,0,,3,3,2,3,3,3,4,1,,1,3,3,3,2,9,3,5,4,0,1,0,0,0,0,0,3,3,3,3,1,1,0,1,0,0,,0,0,,1,2,1,1,2,1,3,5,5,1,1,2,1,3,6,5,3,1,3,1,4,1,2
3,1,1,1,3,3,29,0.842199981,89,100,68,100,74,100,1,1,1,2,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,6,3,7,3,2,5,3,0,0,0,1,1,0,2,5,7,2,5,4,,2,1,1,0,0,0,0,0,0,6,2,1,0,1,1,1,1,0,,0,,0,,0,1,1,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,3,2,2,3,3,1,4,2,0,0,2,1,1,2,9,1,5,4,1,1,0,1,0,1,0,3,3,1,3,1,1,1880,1,0,0,,0,0,3,2,,1,1,1,1,1,6,12,1,1,1,1,3,6,7,3,2,3,5,7,2,2
4,1,1,1,3,3,17,-0.288542986,85,100,80,100,63,100,2,3,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,2,3,3,3,2,3,2,3,2,2,2,3,3,3,6,3,7,3,4,5,3,0,0,0,0,0,1,2,7,7,6,5,3,,2,1,1,0,0,0,0,0,0,6,3,3,0,1,2,1,4,0,,0,,0,,0,1,3,1,1,0,,0,,0,,0,1,2,1,2,0,,0,,0,,3,3,2,,,,4,1,5000,1,2,2,2,2,7,4,5,3,1,1,1,1,1,1,1,3,3,3,3,1,1,2000,0,0,0,,0,1,3,2,2,1,1,2,2,1,8,4,1,1,2,2,1,7,4,3,2,3,1,2,1,2
5,1,1,1,3,3,30,1.143126965,91,100,73,100,84,100,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,3,3,3,3,2,3,3,3,3,3,2,2,3,3,6,1,8,3,3,5,4,1,0,0,0,1,0,2,7,8,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,1,1,3,3,18,0.077648997,83,100,88,100,72,100,1,3,1,1,1,1,0,0,0,1,0,0,0,,1,,2,0,0,1,0,,0,,2,2,2,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3,6,2,9,2,12,4,3,1,0,0,0,1,1,2,3,8,2,4,3,,2,0,0,0,0,0,1,0,0,6,3,4,0,0,,1,1,0,,1,1,0,,0,0,,1,1,0,,0,,0,,0,0,,1,1,0,,0,,0,,2,2,2,1,1,2,2,1,20000,1,3,3,2,3,7,13,5,3,1,1,1,1,1,1,1,1,1,3,3,1,1,,1,0,0,,0,0,,1,3,1,1,3,1,1,8,3,1,1,3,1,1,8,1,3,2,3,3,6,1,2
7,1,1,1,3,3,27,0.855372012,86,100,90,100,82,100,1,1,1,1,1,1,0,0,0,0,1,0,0,,1,2009,2,1,1,0,0,,0,,2,1,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,6,1,7,3,3,6,4,0,0,0,0,1,1,2,7,7,4,6,4,,2,1,1,0,0,1,0,0,0,6,3,3,0,1,5,1,5,0,,0,,0,,1,0,,0,,0,,0,,0,,0,1,3,1,3,0,,0,,0,,2,2,2,3,2,2,4,1,3000,2,2,2,2,2,6,4,6,4,1,1,1,0,0,1,0,1,1,3,3,1,2,2000,0,0,0,,0,1,,1,1,1,1,3,1,3,4,8,1,1,1,1,3,7,13,3,2,3,3,4,1,2
8,1,1,1,3,3,33,1.379001975,96,100,95,100,96,100,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,3,2,2,3,3,3,3,3,3,3,3,2,3,2,3,5,1,8,2,2,6,3,1,1,0,0,1,0,2,1,8,2,6,3,,2,1,0,0,0,0,0,0,0,6,3,2,0,0,,1,5,0,,0,,0,,0,0,,1,1,0,,0,,0,,0,0,,1,1,0,,0,,0,,1,2,2,2,3,3,4,1,8000,1,3,2,2,3,8,2,5,4,1,1,1,1,0,1,1,2,2,3,3,1,1,,1,0,0,,0,0,,2,1,1,1,2,2,,8,,1,1,1,2,3,7,14,3,2,3,1,4,1,2
9,1,1,1,3,3,28,0.758333027,83,100,73,100,74,100,1,3,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,2,2,2,3,1,2,1,1,1,1,1,1,2,3,6,2,7,2,14,8,2,0,0,0,1,0,0,2,7,7,6,5,2,,1,1,1,0,0,0,0,0,0,6,1,2,0,1,1,1,1,0,,0,,0,,0,1,,0,,0,,0,,0,,0,0,,1,1,0,,0,,0,,2,2,2,2,2,2,2,1,5000,1,3,3,3,2,7,4,7,4,1,1,0,1,0,1,1,,,,,,,4500,1,0,0,,0,0,,1,2,1,1,2,1,1,8,1,1,1,2,1,3,3,13,3,2,3,2,3,1,2
10,1,1,1,3,3,19,0.336430997,89,100,75,100,79,100,1,2,1,1,1,1,0,0,0,1,0,0,1,1,0,,,,,,0,,0,,2,1,2,3,3,2,2,2,2,3,2,3,1,3,2,3,2,3,6,2,8,5,3,6,4,0,1,1,0,1,0,2,2,7,4,6,4,,2,1,1,0,0,0,1,0,0,6,1,1,0,0,,1,1,0,,1,5,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,2,1,2,2,4,2,0,1,2,2,2,2,7,2,5,3,1,1,0,0,0,1,0,3,3,3,3,1,1,4400,1,0,0,,0,0,,1,2,1,1,2,1,3,7,8,1,1,2,1,1,8,2,3,2,3,2,6,1,2
11,1,1,1,3,3,10,-0.644298017,68,100,24,100,37,100,1,3,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,2,2,2,2,2,2,2,1,1,3,3,2,2,3,3,6,3,7,4,2,5,2,0,0,0,0,1,0,2,2,7,5,5,2,,1,1,1,0,0,0,0,0,0,6,3,,0,1,24,1,24,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,2,2,2,2,1,1,30000,1,2,2,2,2,7,2,5,2,0,1,0,0,0,1,0,3,3,3,3,1,1,,1,0,0,,0,0,3,1,3,1,1,3,1,3,6,2,8,1,3,1,3,7,12,3,2,3,1,4,1,2
12,,1,1,3,3,0,,,100,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,1,1,3,3,17,0.050129,93,100,78,100,68,100,1,2,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,6,2,7,3,4,6,4,0,0,0,0,1,1,,7,7,6,6,3,,2,1,1,0,0,0,0,0,0,6,2,3,0,1,1,1,2,0,,0,,0,,0,1,1,1,1,0,,0,,0,,0,1,1,1,2,0,,0,,0,,2,3,2,3,3,3,4,1,40000,2,2,2,2,2,8,2,3,3,1,1,0,1,1,1,0,,,,,,,1200,1,0,0,,0,0,,1,2,1,1,3,1,1,8,14,1,1,3,1,3,8,4,4,2,3,2,2,1,3
14,1,1,1,3,3,30,0.947758019,81,100,87,100,79,100,1,3,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,1,1,2,3,3,2,3,1,3,2,3,1,2,3,3,6,1,8,2,1,8,3,1,0,0,0,0,0,2,5,8,11,6,3,,2,1,1,0,0,0,0,0,0,6,2,2,0,1,1,1,2,0,,0,,0,,1,0,,0,,0,,0,,0,,0,1,1,1,1,0,,0,,0,,3,2,1,2,3,3,3,1,10000,1,2,2,3,3,8,9,5,3,1,1,0,1,0,1,0,3,3,3,3,1,1,2100,1,0,0,,0,0,,1,2,1,1,2,1,3,4,2,1,1,2,1,3,4,13,3,2,3,1,4,1,2
16,1,1,1,3,3,22,0.354882985,78,100,58,100,55,100,2,2,1,2,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,3,6,4,7,5,14,5,2,0,0,0,1,1,0,2,5,7,11,5,1,,2,1,1,0,0,1,0,0,0,,3,4,0,0,,1,4,0,,0,,0,,0,0,,1,2,0,,0,,0,,0,0,,1,1,0,,0,,0,,2,3,2,1,3,3,4,1,20000,0,3,2,3,3,7,2,5,3,0,0,0,0,0,1,1,3,3,3,3,1,1,2900,1,0,0,,0,0,4,2,2,1,1,2,2,,2,11,1,1,2,2,3,2,13,1,2,1,4,1,2,1
17,1,1,1,3,3,27,0.484746009,85,100,86,100,58,100,1,3,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,5,2,7,2,14,5,4,0,0,0,0,1,1,2,5,7,9,5,4,,2,1,1,0,0,0,0,0,0,5,3,1,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,2,2,2,2,4,2,0,1,2,2,2,2,7,9,5,4,1,1,0,0,0,1,1,1,1,1,3,1,1,3744,0,0,0,,0,1,,1,3,1,1,3,1,3,8,6,1,1,3,1,3,8,6,3,2,3,1,4,1,2
18,1,1,1,3,3,20,0.272132993,88,100,86,100,86,100,1,,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,6,2,7,2,2,5,4,0,1,1,0,0,0,2,7,7,2,5,3,,2,1,1,0,0,0,0,1,0,6,3,4,0,0,,1,3,0,,0,,0,,1,0,,0,,0,,0,,0,,0,1,1,1,1,0,,0,,0,,2,3,3,3,2,2,4,1,3000,1,3,3,3,3,8,2,5,4,0,1,0,0,0,1,0,3,3,3,3,2,2,,,,,,,,1,2,3,1,1,3,2,3,7,2,1,2,3,2,1,7,2,4,2,4,1,5,1,3
19,1,1,1,3,3,24,0.675570011,85,100,70,100,69,100,1,3,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,6,2,7,2,14,5,3,0,1,0,0,1,0,2,2,7,13,5,3,,2,1,1,0,0,0,0,0,0,6,4,4,0,0,,1,,0,,0,,0,,1,0,,0,,0,,0,,0,,0,1,,1,,0,,0,,0,,3,3,3,3,3,3,2,1,1000,1,2,2,2,2,7,4,5,4,0,1,0,0,1,1,0,1,1,3,3,1,1,0,1,0,0,,0,0,1,1,2,1,1,3,1,3,7,8,1,1,3,1,3,5,7,3,1,3,1,5,1,2
20,,1,1,3,3,0,,76,100,81,100,47,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,1,1,3,3,22,0.866638005,90,100,75,100,76,100,1,2,1,1,0,1,0,0,0,0,0,0,0,,1,,2,0,0,1,0,,0,,2,2,3,3,2,2,2,2,,3,,2,,3,,2,1,3,6,1,7,2,14,5,3,1,0,1,0,0,1,2,7,7,6,5,2,,2,0,1,0,0,0,0,0,0,6,3,3,0,0,,1,,0,,0,,0,,0,0,,1,3,0,,0,,0,,0,0,,1,,0,,0,,0,,2,2,3,2,3,2,4,1,30000,1,3,3,3,3,7,2,5,3,1,1,0,1,1,1,1,3,3,3,3,1,1,,0,0,0,,0,1,,1,3,1,1,3,1,3,4,,1,1,2,1,3,7,2,3,2,3,1,4,,2
22,,1,1,3,3,0,,,100,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,1,1,3,3,23,0.78776598,87,100,70,100,71,100,1,2,1,1,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,2,1,3,2,2,3,2,3,2,3,3,3,3,3,6,2,7,3,4,7,2,1,0,0,0,1,0,2,5,10,9,6,2,,2,1,1,0,0,0,0,0,0,6,3,3,0,0,,1,2,0,,0,,0,,0,0,,1,2,0,,0,,0,,0,0,,1,1,0,,0,,0,,2,2,2,2,3,1,2,2,0,1,,,,,7,4,5,3,0,1,0,0,0,0,0,3,3,3,3,1,1,,0,0,0,,0,1,1,1,1,1,1,2,1,3,7,7,1,1,1,1,3,7,7,3,2,3,2,4,1,2
24,,1,1,3,3,0,,81,100,84,100,73,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,1,1,3,3,30,1.16859901,94,100,85,100,86,100,2,1,1,2,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,2,1,2,1,2,2,2,2,3,2,2,2,3,3,6,1,7,3,2,5,3,1,0,0,0,1,0,2,5,8,2,5,3,,1,1,1,0,0,0,0,0,0,5,1,2,0,1,,1,,0,,0,,0,,0,1,,0,,0,,0,,0,,0,1,,1,,0,,0,,0,,2,2,2,2,2,2,4,2,0,,2,2,2,2,6,13,5,3,0,1,0,0,1,1,0,3,3,3,3,2,2,0,0,0,1,0,0,0,2,2,1,1,1,1,2,3,3,12,1,1,1,2,3,3,12,3,2,3,1,4,1,2
26,,1,1,3,3,0,,97,100,85,100,87,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,1,1,3,3,21,0.396587014,71,100,43,100,60,100,1,2,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,2,3,3,3,2,3,2,3,2,3,2,3,3,3,6,2,7,2,2,6,3,1,0,0,0,1,1,2,7,7,2,6,3,,2,1,1,0,0,0,0,0,0,6,3,3,0,1,3,1,5,0,,0,,0,,1,0,,0,,0,,0,,0,,0,1,,1,,0,,0,,0,,2,2,2,2,3,3,4,1,10000,1,3,3,3,2,8,2,6,4,1,1,1,1,1,1,1,,,,,,,2500,0,0,0,,0,1,,1,2,1,1,2,1,3,6,6,1,1,2,2,3,8,14,3,2,3,1,4,1,2
28,1,1,1,3,3,31,1.298820972,74,100,71,100,83,100,1,2,1,1,1,1,0,0,0,1,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,2,2,2,1,3,2,3,2,2,1,1,2,3,3,6,2,7,2,4,8,4,0,0,0,0,0,1,2,3,7,3,5,3,,1,1,1,0,0,0,1,0,0,6,2,3,0,1,3,1,1,0,,0,,0,,0,1,3,1,3,0,,0,,0,,0,1,3,1,3,0,,0,,0,,2,2,2,2,2,2,4,2,0,1,3,3,3,2,7,4,5,3,0,0,0,0,0,1,0,3,3,3,3,1,1,1450,1,0,0,,0,0,,1,2,1,1,2,1,3,3,9,1,1,2,2,3,6,7,3,2,3,2,2,1,1
29,1,1,1,3,3,25,0.65971899,80,100,72,100,67,100,2,1,1,2,1,1,0,0,1,0,1,0,1,1,0,,,,,,0,,0,,2,1,2,2,2,2,2,1,3,2,2,2,2,2,2,1,3,2,6,2,7,2,3,6,3,0,0,1,0,1,0,2,1,8,4,5,3,,1,1,1,0,0,0,0,0,0,6,2,1,0,1,,1,1,0,,0,,0,,1,1,,1,,0,,0,,0,,0,1,,1,,0,,0,,0,,2,3,2,2,,,2,2,,1,2,3,3,3,8,2,5,3,1,1,0,1,1,1,1,2,2,3,3,1,1,0,0,0,0,,0,1,3,2,1,1,1,1,2,3,4,12,1,1,1,2,3,3,12,3,2,1,3,6,2,1
30,1,1,1,3,3,21,0.25730899,88,100,63,100,40,100,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,3,3,3,2,2,3,3,2,2,3,3,2,2,3,3,6,3,6,4,13,5,3,1,0,0,0,1,0,2,2,7,11,5,3,,2,1,1,0,0,0,0,0,0,6,3,1,0,1,3,1,5,0,,0,,0,,0,1,1,1,1,0,,0,,0,,0,1,1,1,1,0,,0,,0,,2,2,2,2,3,3,2,1,8000,1,3,3,3,3,7,4,7,4,1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,1,1,3,3,31,0.811987996,76,100,84,100,68,100,2,3,1,1,0,1,0,0,0,0,0,0,1,2,0,,,,,,0,,0,,1,2,3,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,4,1,7,4,13,6,2,0,0,0,1,1,0,2,2,9,3,7,3,,2,0,1,0,0,0,0,0,0,6,3,4,0,0,,1,2,0,,0,,0,,0,0,,1,1,0,,0,,0,,0,1,1,0,,0,,0,,0,,2,2,2,2,2,2,4,2,0,1,2,3,2,2,9,3,6,4,1,1,1,1,0,1,1,3,3,3,3,1,1,,1,0,0,,0,0,3,2,1,1,1,2,2,3,8,4,1,1,2,2,3,8,4,3,2,3,1,4,1,2
33,2,1,1,3,3,21,0.32565099,77,100,77,100,71,100,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,2,9,3,14,5,4,0,0,0,0,1,1,2,2,9,12,5,4,,2,1,0,0,0,0,0,0,0,6,3,3,0,1,,1,,0,,0,,0,,1,0,,0,,0,,0,,0,,0,1,,1,,0,,0,,0,,2,2,2,2,2,2,4,2,0,1,2,2,2,2,8,6,5,4,1,1,0,1,0,1,0,3,3,3,3,1,1,1700,1,0,0,,0,0,,1,1,1,1,1,1,3,3,8,1,1,1,1,3,3,7,3,2,3,2,4,1,2
34,2,1,1,3,3,33,1.403463006,79,100,62,100,62,100,2,3,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,1,1,2,2,1,1,1,1,2,3,2,3,2,3,1,3,2,3,6,3,6,3,14,8,3,1,0,1,1,1,0,2,2,6,12,5,3,,2,1,1,0,0,0,0,0,0,6,3,3,0,1,1,1,1,0,,0,,0,,0,0,,1,1,0,,0,,0,,0,0,,1,1,0,,0,,0,,2,2,1,1,2,2,2,1,5000,2,3,3,3,3,9,3,7,4,1,1,1,1,1,1,1,3,3,3,3,1,1,2000,1,0,0,,0,0,6,2,3,1,1,3,2,3,8,12,1,1,3,2,3,8,2,,,,,,,
35,2,1,1,3,3,27,0.852997005,74,100,69,100,62,100,2,,1,2,1,1,0,0,1,0,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,6,3,7,2,6,5,3,0,0,1,1,1,0,2,5,7,6,5,3,,1,1,1,0,0,1,0,0,0,6,3,4,0,1,2,1,2,0,,0,,0,,0,1,1,0,,0,,0,,0,,0,1,1,0,,1,1,0,,0,,2,2,2,2,3,3,2,2,0,1,2,2,2,2,7,6,5,3,1,0,0,1,0,1,0,2,2,3,3,1,1,1680,1,0,0,,0,0,2,2,2,1,1,2,2,3,3,12,1,1,2,2,3,2,12,3,2,3,1,4,1,2
36,,1,1,3,3,0,,,100,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,1,1,3,3,28,1.049445033,88,100,82,100,83,100,1,2,1,1,1,1,0,0,0,1,0,0,1,1,0,,,,,,0,,0,,2,1,2,2,1,2,2,2,1,2,1,2,1,2,1,2,2,3,6,4,10,3,13,7,4,0,1,1,1,1,0,2,1,9,6,,,,2,1,0,0,0,0,1,0,0,,5,3,0,0,,1,1,0,,1,1,0,,1,0,,0,,0,,0,,0,,0,0,,1,1,0,,0,,0,,1,1,1,1,1,1,4,2,0,2,1,1,1,1,6,13,5,4,0,1,0,0,0,1,1,3,1,3,,1,1,,0,0,0,,0,1,,1,2,1,1,2,1,3,3,14,3,1,2,1,3,4,14,3,2,2,3,4,1,2
38,2,1,1,3,3,26,0.576386988,76,100,52,100,64,100,1,2,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,3,3,2,2,2,3,3,3,3,3,2,2,2,3,6,3,7,2,2,6,3,0,0,1,0,1,0,2,5,7,6,5,3,,1,,,,,,,,,6,3,2,0,1,1,1,1,0,,0,,0,,0,1,1,1,1,0,,0,,0,,0,1,2,1,2,0,,0,,0,,3,3,3,3,3,3,2,2,0,1,3,3,3,3,9,2,6,4,0,0,0,0,0,1,0,1,1,3,1,1,1,,1,0,0,,0,0,,1,2,1,1,2,1,3,8,14,1,1,2,1,3,4,6,3,2,3,1,1,1,2
39,2,1,1,3,3,27,0.872910976,77,100,82,100,81,100,2,1,1,2,1,1,0,0,0,0,1,0,1,1,0,,,,,,0,,0,,2,1,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,6,2,7,1,2,6,4,1,1,1,1,1,1,2,5,7,2,6,4,,1,1,1,0,0,0,1,0,0,6,3,3,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,3,3,2,2,2,2,4,1,6000,0,2,2,2,2,7,2,6,4,1,1,0,1,0,0,0,3,3,3,3,1,1,,1,0,0,,0,0,3,2,1,1,1,1,2,,4,2,1,1,1,2,3,4,6,3,2,3,3,6,2,1
40,2,1,1,3,3,22,0.759765983,79,100,70,100,66,100,2,3,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,6,2,7,3,4,5,3,1,0,0,0,0,0,2,5,7,4,5,3,,1,1,1,0,0,0,0,0,0,6,,,0,0,,0,,0,,0,,1,,0,0,,0,,0,,0,,1,,0,0,,0,,0,,0,,1,,2,2,2,2,2,2,4,1,,1,2,2,2,2,7,4,5,3,,,,,,,,,,,,,,,,,,,,,,2,3,1,,2,2,,,,1,,3,2,,,,3,2,3,,,,
41,2,1,1,3,3,17,-0.120102003,87,100,86,100,74,100,1,,1,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,0,,0,,2,1,3,3,3,3,3,3,2,2,2,2,2,2,2,2,,,6,2,7,1,1,5,4,0,1,1,1,0,0,2,1,8,9,5,4,,1,1,1,0,0,0,0,0,0,6,3,3,0,1,2,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,1,0,,0,,0,,0,,0,,2,2,2,2,2,2,2,2,0,1,2,2,2,2,7,1,5,4,0,0,0,0,0,1,0,3,3,3,3,1,1,,1,0,0,,0,0,,1,2,1,1,2,1,3,4,8,1,1,2,1,3,4,7,3,2,3,2,1,1,2
42,,1,1,3,3,0,,,100,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
