w2cog3pl,w2stdchn,w2stdmat,w2stdeng,w2stdtotal,w2a01,w2a03,w2a05,w2a0801,w2a16,w2a17,w2a2001,w2a2002,w2a2003,w2a2004,w2a2005,w2a2006,w2a2101a,w2a2101b,w2a2102a,w2a2102b,w2a2103a,w2a2103b,w2a2104a,w2a2104b,w2a22,w2a23,w2a27,w2a28,w2a29,w2a32,w2b18,w2b19,w2b20,w2b21,w2ba11,w2ba12,w2ba13,w2ba1400,w2ba1401,w2ba1402,w2ba1403,w2ba1404,w2ba1405,w2ba1500,w2ba1501,w2ba1502,w2ba1503,w2ba1504,w2ba1505,w2ba1701,w2ba1702,w2ba1703,w2ba1704,w2ba1705,w2ba1706,w2ba18,w2ba21,w2ba24,w2ba2601,w2ba2602,w2ba2603,w2ba2604,w2ba29,w2ba30,w2ba31,w2ba32,w2bb15,w2bb16,w2bb17,w2bb18,w2bb19,w2bb20,w2bc0201,w2bc0202,w2bc0203,w2bc0204,w2bc0205,w2bd01,w2bd02,w2be02,w2be03,w2be04,w2be06,w2be07,w2be08,w2be09,w2be11,w2be12,w2be13,w2be15,w2be16,w2be17,w2be18,w2be23,w2be24,w2ba09,w2ba10
0.811987996,0.267153511,0.53815137,-0.050225759,0.269391986,1,0,0,1,0,1,3,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,7,4,2,9,3,7,3,6,3,4,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2,4,1,1,2,3,2,2,9,3,6,4,3,3,3,3,1,1,1,0,0,0,0,2,1,1,1,2,2,3,8,4,1,1,2,2,3,8,4,3,1,1,1
0.32565099,0.348838843,0.243492566,0.081360922,0.212669126,0,0,0,1,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,9,3,4,9,12,5,4,6,3,3,0,1,1,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,4,1,1,2,2,2,2,8,6,5,4,3,3,3,3,1,1,1,0,0,0,0,1,1,1,1,1,1,3,3,8,1,1,1,1,3,3,7,3,1,1,0
1.403463006,0.512209507,-0.387919157,-0.313399121,-0.20329851,1,0,0,1,0,0,2,2,1,1,1,1,2,3,2,3,2,3,1,3,2,3,3,6,3,3,6,12,5,3,6,3,3,0,1,1,0,0,0,0,0,1,0,0,0,2,2,1,1,2,2,2,0,2,3,3,3,3,9,3,7,4,3,3,3,3,1,1,1,0,0,0,0,2,3,1,1,3,2,3,8,12,1,1,3,2,3,8,2,,,1,0
0.852997005,0.103782848,-0.093260353,-0.313399121,-0.16548327,1,0,1,1,1,0,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,7,2,3,7,6,5,3,6,3,4,0,1,1,0,0,0,0,1,0,0,0,0,2,2,2,2,3,3,2,1,1,2,2,2,2,7,6,5,3,2,2,3,3,1,1,1,0,0,0,0,2,2,1,1,2,2,3,3,12,1,1,2,2,3,2,12,3,1,,1
1.049445033,1.247377492,0.45396314,0.607707646,0.742082481,0,0,0,1,1,0,2,2,1,2,2,2,1,2,1,2,1,2,1,2,2,3,4,10,3,4,9,6,,,,5,3,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,4,1,2,1,1,1,1,6,13,5,4,3,1,3,,1,1,0,0,0,0,1,1,2,1,1,2,1,3,3,14,3,1,2,1,3,4,14,3,1,0,0
0.576386988,0.267153511,-0.808860306,-0.225674667,-0.411282328,0,0,0,1,1,0,3,3,3,3,2,2,2,3,3,3,3,3,2,2,2,3,3,7,2,3,7,6,5,3,6,3,2,0,1,1,0,0,0,0,1,1,0,0,0,3,3,3,3,3,3,2,1,1,3,3,3,3,9,2,6,4,1,1,3,1,1,1,1,0,0,0,0,1,2,1,1,2,1,3,8,14,1,1,2,1,3,4,6,3,1,1,0
0.872910976,0.348838843,0.45396314,0.519983192,0.496283424,1,0,1,1,1,0,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,2,7,1,4,7,2,6,4,6,3,3,1,0,0,0,0,0,1,0,0,0,0,0,3,3,2,2,2,2,4,0,0,2,2,2,2,7,2,6,4,3,3,3,3,1,1,1,0,0,0,0,2,1,1,1,1,2,,4,2,1,1,1,2,3,4,6,3,1,1,1
-0.120102003,1.165692161,0.622339599,0.212947603,0.628636763,0,0,0,1,1,0,3,3,3,3,3,3,2,2,2,2,2,2,2,2,,,2,7,1,4,8,9,5,4,6,3,3,0,1,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,1,1,2,2,2,2,7,1,5,4,3,3,3,3,1,1,1,0,0,0,0,1,2,1,1,2,1,3,4,8,1,1,2,1,3,4,7,3,1,1,1
-0.857316971,-0.549699806,-0.556295617,-0.269536894,-0.505820427,0,0,0,1,0,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,9,4,4,9,3,6,4,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,3,3,3,3,3,3,3,0,0,1,1,1,1,9,3,6,4,1,1,1,1,2,1,1,0,0,0,0,1,3,1,1,3,1,1,7,8,1,1,3,1,1,7,8,3,1,1,1
1.118232012,1.247377492,0.706527829,0.6954321,0.89334344,1,0,1,1,0,1,3,1,2,1,3,3,1,1,1,1,1,1,1,1,1,2,1,9,5,3,8,4,5,4,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,3,1,1,1,3,2,5,0,1,1,2,1,1,9,1,5,4,1,3,1,1,3,3,1,0,0,0,0,2,2,8,1,2,2,3,3,13,8,1,2,2,3,3,13,3,1,0,0
