,w2cog3pl,w2stdchn,w2stdmat,w2stdeng,w2stdtotal,w2a01,w2a03,w2a05,w2a0801,w2a16,w2a17,w2a2001,w2a2002,w2a2003,w2a2004,w2a2005,w2a2006,w2a2101a,w2a2101b,w2a2102a,w2a2102b,w2a2103a,w2a2103b,w2a2104a,w2a2104b,w2a22,w2a23,w2a27,w2a28,w2a29,w2a32,w2b18,w2b19,w2b20,w2b21,w2ba11,w2ba12,w2ba13,w2ba1400,w2ba1401,w2ba1402,w2ba1403,w2ba1404,w2ba1405,w2ba1500,w2ba1501,w2ba1502,w2ba1503,w2ba1504,w2ba1505,w2ba1701,w2ba1702,w2ba1703,w2ba1704,w2ba1705,w2ba1706,w2ba18,w2ba21,w2ba24,w2ba2601,w2ba2602,w2ba2603,w2ba2604,w2ba29,w2ba30,w2ba31,w2ba32,w2bb15,w2bb16,w2bb17,w2bb18,w2bb19,w2bb20,w2bc0201,w2bc0202,w2bc0203,w2bc0204,w2bc0205,w2bd01,w2bd02,w2be02,w2be03,w2be04,w2be06,w2be07,w2be08,w2be09,w2be11,w2be12,w2be13,w2be15,w2be16,w2be17,w2be18,w2be23,w2be24,w2ba09,w2ba10
3334,1.923069954,1.410748156,0.7907160590000001,0.9586054620000001,1.082419638,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,7.0,3.0,3.0,7.0,5.0,4.0,3.0,6.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,7.0,13.0,7.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,13.0,3.0,1.0,1.0,1.0
3335,1.302180052,1.002321497,0.496057255,0.870881008,0.8177129609999999,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,7.0,2.0,3.0,7.0,5.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,12.0,1.0,2.0,1.0,1.0,3.0,3.0,12.0,3.0,1.0,0.0,0.0
3336,1.176342964,0.34883884299999995,0.411869025,0.9801637459999999,-0.6003585260000001,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,6.0,4.0,2.0,7.0,13.0,3.0,2.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,3.0,2.0,7.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,12.0,1.0,1.0,1.0,1.0,3.0,2.0,10.0,3.0,1.0,1.0,0.0
3337,0.14802600400000002,0.267153511,0.832810174,0.760852612,-0.335651849,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,4.0,2.0,6.0,3.0,4.0,3.0,6.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,8.0,1.0,1.0,1.0,1.0,3.0,6.0,13.0,3.0,1.0,1.0,1.0
3338,0.590206981,0.593894838,0.45396314,0.037498695,0.345022465,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,9.0,4.0,2.0,9.0,9.0,5.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,10.0,1.0,1.0,1.0,1.0,3.0,2.0,10.0,2.0,1.0,1.0,1.0
3339,0.989021003,0.757265502,0.075116106,0.6292659310000001,-0.5058204270000001,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,7.0,4.0,3.0,7.0,1.0,7.0,3.0,6.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,7.0,1.0,7.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,13.0,3.0,1.0,0.0,0.0
3340,-0.40613400899999996,0.512209507,0.777024948,0.936301519,0.526831898,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,3.0,3.0,7.0,2.0,6.0,2.0,6.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,12.0,1.0,1.0,1.0,1.0,3.0,2.0,12.0,3.0,1.0,1.0,1.0
3343,0.9894940259999999,1.002321497,0.201398451,-0.708159164,0.004685308,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,7.0,4.0,3.0,7.0,2.0,5.0,3.0,5.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,9.0,9.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,12.0,1.0,1.0,1.0,1.0,3.0,3.0,12.0,3.0,1.0,0.0,0.0
3344,0.858833015,0.512209507,0.27189557,0.892439292,0.28103284,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,7.0,2.0,4.0,7.0,2.0,4.0,4.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,3.0,3.0,9.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,6.0,7.0,1.0,2.0,1.0,1.0,3.0,6.0,7.0,4.0,0.0,1.0,1.0
3345,0.928372979,0.10378284800000001,0.145613225,0.409954796,0.11086426199999999,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,7.0,4.0,3.0,7.0,4.0,4.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,6.0,4.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,12.0,1.0,2.0,1.0,1.0,1.0,3.0,12.0,3.0,1.0,0.0,1.0
3346,0.483036011,0.10378284800000001,0.01933088,0.015194753,-0.8839728240000001,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,4.0,3.0,6.0,6.0,7.0,3.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,4.0,7.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,11.0,1.0,1.0,1.0,1.0,3.0,1.0,11.0,2.0,1.0,1.0,0.0
3347,1.12719202,0.022097516,0.24349256600000002,0.563845419,0.345022465,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,6.0,3.0,4.0,6.0,3.0,4.0,4.0,6.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,9.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,10.0,1.0,1.0,1.0,1.0,3.0,3.0,10.0,3.0,1.0,0.0,0.0
3348,1.001768947,1.002321497,-0.135354468,0.19064366100000002,-0.35455946899999996,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,7.0,3.0,3.0,7.0,5.0,4.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.0,1.0,3.0,3.0,3.0,3.0,6.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,13.0,1.0,1.0,1.0,1.0,3.0,2.0,13.0,3.0,1.0,0.0,0.0
3349,0.991057992,0.267153511,-0.977236766,0.278368115,-0.940695683,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,8.0,4.0,4.0,8.0,4.0,6.0,4.0,5.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,8.0,4.0,6.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,13.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0
3350,0.103404,-0.059587815999999995,0.9454014070000001,0.848577065,0.6970004759999999,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,7.0,3.0,3.0,7.0,6.0,5.0,3.0,6.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,0.0,1.0,2.0,3.0,3.0,3.0,7.0,10.0,5.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,13.0,1.0,1.0,1.0,1.0,3.0,2.0,13.0,3.0,1.0,1.0,0.0
3351,0.21422100100000002,-2.346777105,-0.387919157,0.848577065,0.526831898,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,6.0,5.0,3.0,10.0,9.0,7.0,2.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,9.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,10.0,1.0,1.0,1.0,1.0,3.0,3.0,7.0,3.0,1.0,0.0,0.0
