w2a01,w2a03,w2a05,w2a0801,w2a16,w2a17,w2stdtotal
0,0,0,1,1,0,-0.827249964
0,0,0,1,1,0,0.307207225
0,0,0,1,1,0,1.328218696
0,0,1,1,1,0,-0.20329851
0,0,0,1,1,0,0.91225106
0,0,0,1,1,0,1.063512019
0,0,0,1,1,0,0.987881539
0,0,0,1,1,0,0.515191044
0,0,1,1,1,0,0.836620581
1,0,0,1,1,0,0.91225106
0,0,0,1,1,0,0.760990101
0,0,0,1,1,0,0.553006283
0,0,0,1,1,0,-0.694896625
0,0,0,1,1,0,0.685359622
0,0,0,1,1,0,1.366033936
0,0,1,1,1,0,-0.127668031
0,0,0,1,1,0,0.647544382
0,0,0,1,1,0,1.006789159
0,0,1,1,1,0,0.87443582
0,0,0,1,1,0,1.309311076
0,0,0,1,1,0,0.742082481
0,0,0,1,1,0,1.120234878
1,0,0,1,1,0,-0.609812336
1,0,,1,1,0,0.224309981
0,0,1,1,1,0,-2.169690972
0,0,0,1,1,0,1.309311076
0,0,0,1,1,0,1.176957737
0,0,1,1,1,0,0.987881539
0,0,1,1,1,0,0.723174862
1,0,0,,0,0,0.798805341
0,0,0,1,1,1,0.212669126
0,0,0,1,1,0,0.789351531
0,0,0,1,1,0,1.139142498
0,0,0,0,,1,0.798805341
0,0,1,1,1,0,-0.14657565
1,0,1,1,1,0,0.93115868
0,0,1,1,1,0,1.101327258
1,0,0,1,1,0,1.006789159
0,0,0,1,1,0,0.817712961
0,0,0,1,1,0,0.779897721
0,1,1,1,1,0,0.193761506
0,0,0,1,1,0,0.628636763
0,0,0,1,1,0,0.401745325
0,0,0,1,1,0,0.524644853
0,0,0,1,1,0,0.89334344
0,0,0,1,1,0,0.628636763
1,0,0,1,1,0,0.751536291
0,0,0,1,1,0,1.356580126
0,0,1,1,1,0,0.91225106
0,0,0,0,1,1,-0.070945171
0,0,0,1,1,0,1.120234878
1,1,0,1,0,0,0.732628672
0,0,0,1,1,0,0.723174862
0,0,1,1,1,0,0.789351531
0,0,0,1,1,0,1.054058209
1,0,1,1,1,0,0.647544382
0,0,0,1,1,0,1.063512019
0,0,0,1,1,0,-0.430189948
0,0,0,1,1,0,1.120234878
0,0,0,1,1,0,0.817712961
0,0,0,1,1,0,-0.430189948
0,0,1,1,1,0,0.004685308
1,0,0,1,1,0,-3.209610062
1,0,0,1,0,0,0.382837705
0,0,0,0,,,-0.14657565
0,0,,0,0,1,-0.278928989
0,0,0,1,1,0,0.90279725
0,0,0,1,1,0,0.968973919
0,0,0,0,0,1,-0.335651849
0,0,0,1,1,0,0.836620581
,0,1,1,1,0,-0.770527105
0,0,1,1,1,0,0.382837705
0,0,0,1,1,0,0.184307697
1,0,0,1,1,0,0.167587121
0,0,1,1,1,0,-0.297836609
0,0,0,1,1,0,-2.264229071
0,0,0,1,1,0,0.704267242
1,0,0,1,0,1,-0.16548327
0,0,0,1,1,0,-2.604566228
0,0,1,1,1,0,0.779897721
0,0,0,1,1,0,0.042500548
0,0,0,1,1,0,-0.713804245
1,0,0,1,1,0,-0.978510923
1,0,0,0,1,0,0.571913903
0,0,1,1,1,0,0.817712961
0,0,1,1,1,0,0.099223407
0,0,0,1,1,0,0.675905812
0,0,0,1,1,0,0.93115868
,0,0,1,1,0,0.89334344
0,0,0,0,0,0,0.269391986
0,0,1,1,1,0,-0.883972824
0,0,1,0,,,-0.335651849
1,0,0,1,1,0,-0.581450906
0,0,0,1,1,0,0.470109038
0,0,0,1,1,0,-0.430189948
0,0,0,0,1,0,0.477375804
,0,0,0,1,0,1.271495837
0,0,0,1,1,0,0.165400077
0,0,1,1,1,0,0.382837705
0,0,1,1,1,1,0.394478559
0,0,0,1,1,0,0.8555282
0,0,0,1,1,0,0.590821523
0,0,0,1,1,0,0.779897721
0,0,0,1,1,0,0.155946267
0,0,0,1,1,0,0.193761506
0,0,0,1,1,0,0.137038647
0,0,0,1,1,0,0.987881539
0,0,0,1,1,0,1.176957737
1,0,0,1,1,0,0.8555282
1,0,0,1,1,0,0.734815716
0,0,0,1,0,,-0.070945171
0,0,0,1,1,0,0.3377557
0,0,0,1,1,0,0.004685308
0,1,0,1,1,0,1.195865357
0,0,0,1,1,0,1.214772977
0,0,1,1,1,0,0.401745325
0,0,0,0,1,,0.137038647
0,0,0,1,1,0,0.87443582
0,0,1,1,1,0,0.91225106
1,0,0,1,1,0,0.507924278
0,0,0,1,1,0,-0.22220613
0,0,0,1,0,1,-2.812550046
0,1,0,1,1,0,0.91225106
0,0,0,1,1,0,0.023592928
0,0,1,1,1,0,-0.505820427
0,0,0,1,1,0,-0.278928989
0,0,0,1,1,0,0.016326162
0,0,0,1,1,0,0.9500663
0,0,0,1,1,0,1.044604399
0,0,0,1,1,0,0.382837705
0,0,0,1,1,0,-2.566750988
0,0,0,1,1,0,0.89334344
0,0,1,1,1,0,1.366033936
0,0,0,1,1,0,0.470109038
0,0,0,1,1,0,0.250484366
0,0,0,1,1,0,0.723174862
0,0,0,0,1,1,-0.449097568
0,0,1,1,1,0,0.515191044
0,0,1,1,1,0,0.439560564
0,0,0,1,1,0,1.195865357
0,0,1,1,1,0,0.848261435
0,0,0,1,1,0,1.271495837
0,0,0,1,1,0,0.212669126
0,0,1,1,1,0,0.9500663
0,0,0,1,1,0,0.742082481
0,0,0,1,1,0,0.345022465
0,0,0,1,1,0,0.553006283
0,0,0,1,1,0,0.250484366
0,0,0,1,1,0,-2.453305269
0,0,0,1,1,0,1.290403456
0,0,0,0,1,0,0.489016658
0,0,0,1,1,0,0.87443582
0,0,0,1,1,0,0.647544382
0,0,0,1,1,0,0.942799534
0,0,1,1,1,0,0.307207225
1,,1,1,1,0,0.9500663
0,0,0,1,1,0,0.704267242
0,0,0,1,1,0,0.89334344
0,0,0,1,1,0,0.685359622
0,,0,1,1,,-0.16548327
0,0,,1,1,0,0.968973919
0,0,0,1,1,0,-2.112968112
0,0,0,1,1,0,0.8555282
0,0,0,1,0,1,1.082419638
0,0,0,1,1,0,0.345022465
0,0,0,1,1,0,-0.543635667
0,0,0,1,1,0,0.9500663
0,0,1,1,1,0,1.290403456
0,0,0,0,1,0,1.120234878
0,0,0,1,1,0,-0.902880444
0,0,0,1,1,0,1.233680597
0,0,0,1,1,0,-2.207506212
0,0,1,1,1,0,0.137038647
0,0,0,1,1,0,0.413386179
0,0,1,1,1,0,0.004685308
0,0,0,1,1,0,0.401745325
0,0,0,1,1,0,0.375570939
0,0,0,1,1,0,0.89334344
0,0,0,1,1,0,0.987881539
0,0,0,1,1,0,-0.20329851
0,0,0,1,1,0,0.477375804
0,0,1,1,1,0,0.91225106
0,0,0,0,1,1,-0.052037551
,0,0,1,1,0,1.139142498
0,0,0,1,1,0,0.212669126
0,0,1,1,1,0,0.836620581
0,0,0,1,1,0,0.356663319
0,0,0,1,1,0,1.252588217
1,0,0,1,1,0,0.742082481
0,0,0,1,1,0,1.139142498
1,0,0,1,1,0,-0.865065204
0,0,0,1,1,0,0.968973919
0,0,1,1,1,0,0.583554757
0,0,0,1,1,0,0.87443582
0,0,0,1,1,0,1.006789159
0,0,0,1,1,0,1.233680597
0,0,0,1,1,0,0.307207225
0,0,0,1,1,0,1.158050118
0,0,0,1,1,0,-0.014222312
0,0,1,1,1,0,0.363930085
0,0,0,1,1,0,1.441664415
,0,0,1,0,1,0.961707154
,0,0,1,1,0,-2.528935749
0,0,1,1,1,0,0.449014374
0,0,1,1,1,0,-0.411282328
0,0,0,1,1,0,-2.33985955
0,0,1,1,1,0,-0.515274237
1,0,1,1,0,1,-2.34931336
0,0,1,1,1,0,-2.41549003
